,question_id,sql_gold,sql_pred,execution_accuracy
0,0,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,"SELECT MAX(""Percent (%) Eligible Free (K-12)"") AS highest_eligible_free_rate
FROM frpm
WHERE ""County Name"" = 'Alameda';",1
1,1,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,"SELECT `School Name`, `Percent (%) Eligible Free (Ages 5-17)`
FROM frpm
WHERE `School Type` = 'Continuation Schools (Public)'
ORDER BY `Percent (%) Eligible Free (Ages 5-17)` ASC
LIMIT 3;",0
2,2,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,"SELECT Zip 
FROM schools 
WHERE County = 'Fresno' AND DOCType = 'County Office of Education (COE)' AND Charter = 1;",0
3,3,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,"SELECT MailStreet, MailCity, MailZip, MailState
FROM schools
WHERE CDSCode = (
    SELECT CDSCode
    FROM frpm
    ORDER BY `FRPM Count (K-12)` DESC
    LIMIT 1
);",0
4,4,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',"SELECT Phone 
FROM schools 
WHERE Charter = 1 
  AND FundingType = 'Directly funded' 
  AND OpenDate > '2000-01-01';",0
5,5,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath < 400,"SELECT COUNT(*)
FROM satscores s
JOIN schools sc ON s.cds = sc.CDSCode
WHERE s.AvgScrMath < 400 AND sc.Virtual = 'Y';",1
6,6,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,"SELECT s.*
FROM schools s
JOIN satscores ss ON s.CDSCode = ss.cds
WHERE ss.NumTstTakr > 500 AND s.Magnet = 1;",0
7,7,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,"SELECT Phone 
FROM schools 
WHERE CDSCode = (
    SELECT cds 
    FROM satscores 
    ORDER BY NumGE1500 DESC 
    LIMIT 1
);",1
8,8,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),"SELECT s.NumTstTakr
FROM satscores s
JOIN frpm f ON s.cds = f.CDSCode
ORDER BY f.`FRPM Count (K-12)` DESC
LIMIT 1;",1
9,9,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',"SELECT COUNT(*) 
FROM satscores s
JOIN schools sc ON s.cds = sc.CDSCode
WHERE s.AvgScrMath > 560 AND sc.FundingType = 'Directly funded' AND sc.Charter = 1;",1
